inputs,targets
" Accordingly, an object of the present invention is to provide a radiator having improved airflow path for efficient heat radiating. 
 In order to achieve the object set out above, a radiator in accordance with a preferred embodiment of the present invention comprises a flat base, a pair of heat pipes and a plurality of fins on the base. The base defines a pair of grooves through a top portion thereof. Each heat pipe comprises parallel and symmetrical first and second sections. The first sections are soldered to the base in the grooves. Each fin defines a notch at a bottom portion thereof and a pair of holes at opposite sides of the notch. Flanges extend perpendicularly from the notches of the fins, cooperatively defining an airflow guiding surface. Collars extend perpendicularly from the holes of the fins, for receiving the second sections of the heat pipes 
 Other objects, advantages and novel features of the present invention will become more apparent from the following detailed description when taken in conjunction with the accompanying drawings, in which:
","1. A radiator comprising: 
a flat base; 
a fin assembly having an even top portion adapted for mounting a fan thereon, and an uneven bottom portion mounted on the base, a streamline airflow guiding surface with a peak distal from the base being defined perpendicularly from the bottom portion; and 
a heat pipe comprising a first section lodged in the base and an opposite second section extending through the fin assembly."
" According to one aspect of the present invention, a melting plate for a melting plate candle assembly includes a thermally transmissive bottom wall and a capillary lobe protruding upwardly from a low point of the bottom wall. The capillary lobe has a peaked apex. 
 According to another aspect of the present invention, a fuel element for use with a melting plate having a capillary lobe with a peaked apex protruding upwardly from a bottom wall thereof includes a fuel charge having a depression disposed in a lower surface thereof. The depression is adapted to receive the capillary lobe therein. 
 According to a further aspect of the present invention, a candle assembly includes a support plate including a capillary lobe projecting upwardly from a bottom wall, the capillary lobe having a peaked apex, and a fuel element including a depression in a lower surface thereof. A portion of the lower surface is in thermal communication with the bottom wall and the peaked apex is disposed in the depression. 
 Other aspects and advantages of the present invention will become apparent upon consideration of the following detailed description in which:
","1. A melting plate for a melting plate candle assembly, the melting plate comprising: 
a thermally transmissive bottom wall; and 
a capillary lobe protruding upwardly from a low point of the bottom wall, the capillary lobe having a peaked apex."
" The present invention provides a gaming device and in particular a bonus scheme of a gaming device that enables players to accumulate awards in a plurality of sets until one of the sets is completed. Each set includes at least one and preferably a plurality of components. The gaming device enables a player to pick a plurality of selections from a group of masked selections. Preferably, a component from one of the sets is associated with each selection. A component from two or more of, or each of the sets, could also be associated with a selection. 
 In the preferred embodiment, the components of a set include values, modifiers and bonuses; however, it should be appreciated that other components could be part of or associated with a set or a plurality of sets in addition to or in place of the values, modifiers and bonuses. At least one and preferably a plurality of designated or predetermined components are necessary to complete a set. For instance, in the preferred embodiment, each set has a plurality of value components. To complete such set, all of the value components in such set must be obtained or selected by the player. It should be appreciated that the number of or type of components in each set necessary to complete the set may vary and that the components necessary to terminate each set is preferably, but does not have to be, identical or similar. For example, a bonus component may be required to complete one of the sets. 
 Each component preferably has a symbol or other identifier associated with the component, and particularly the value components or the components necessary to complete a set. Thus, when the player picks one of the selections from the group of masked selections (which the game preferably simultaneously displays to the player), the game reveals the value and the identifier or symbol associated with one of the sets (i.e., to identify the component of the appropriate set). In one embodiment of the invention, an identifier or symbol is associated with a selection before a player picks from the group of masked selections. In another embodiment, the player picks the selection and then the symbol or identifier is associated with the selection before revealing the selection to the player. It should also be appreciated that the processor of the gaming device could randomly determine the selections. In accord with one aspect of the invention, the components are weighted such that the processor is more likely to assign one component to a selection over another component. 
 The player preferably receives the award associated with the first set completed; however, the player could receive an award from another completed set, such as the last set completed or from an uncompleted set. The award provided to the player is preferably based on the components of the appropriate set, such as the first set completed in the preferred embodiment. In the preferred embodiment, the award provided to the player includes the sum of the value components achieved, modified by any modifiers such as a multiplier (if any modifiers are obtained before the first set is completed) and the addition of any bonuses (if any bonuses are obtained before the first set is completed). 
 As indicated above, another aspect of the invention includes bonuses or bonus credits which are associated with the selections. If a player picks a selection and generates a bonus, the bonus is added to the designated set, a combination of the sets, or to all of the sets. 
 As also indicated above, in yet another aspect of the invention a modifier, such as a multiplier, is associated with one or more of the selections. If a player picks a selection, which includes a modifier, the modifier changes the value of a set based on the modifier. A modifier may be associated with any designated set, a combination of the sets, or all of the sets. 
 Although the present invention is discussed relative to a bonus game of a gaming machine, it should be appreciated that the present invention could be employed as a primary game in a gaming device. 
 It is therefore an advantage of the present invention to provide a gaming device having a plurality of potential award sets and a player obtains an award associated with one of the award sets. 
 Other objects, features and advantages of the invention will be apparent from the following detailed disclosure, taken in conjunction with the accompanying sheets of drawings, wherein like numerals refer to like parts, elements, components, steps and processes.
","1. A gaming device controlled by a processor, said gaming device comprising: 
a primary game controlled by the processor and operable upon a wager by a player; 
a secondary game controlled by the processor and operable upon an occurrence of a triggering event in a play of the primary game; 
a plurality of sets in the secondary game, each set including a plurality of value components; 
a plurality of different distinguished set identifiers, each set identifier associated with one of the sets, and each set having an associated set identifier; 
a plurality of player selectable selections in the secondary game, said value components associated with said selections, said set identifiers associated with the selections, and wherein at least two different set identifiers are associated with one of the selections; 
an input device operable to communicate with the processor and operable to enable the player to select the selections in the secondary game; 
a display device controlled by the processor and operable to separately display each set; and 
an award adapted to be provided to the player, said award determined by the processor, wherein said processor is operable with the display device and the input device to: 
(a) enable the player to pick a plurality of the selections, 
(b) display the value components and set identifiers associated with the picked selections, 
(c) display the value components of the picked selections in association with the separately displayed sets based on the set identifiers associated with said picked selections, and 
(d) determine the award based at least in part on the value components in the first of said sets which has the value components of said set selected."
" According to an aspect of this invention, a rotor assembly includes a substantially cylindrical support structure having at least one first region, and at least one second region. The rotor assembly further includes at least one rotor coil positioned within each first region of the substantially cylindrical support structure, with each rotor coil including a pair of distal end portions and a convex center portion, wherein the average mechanical density of the convex center portion is substantially equal to the average mechanical density of the distal end portions. Further, the average mechanical density of the first region is substantially equal to the average mechanical density of the second region. 
 One or more of the following features may also be included. One or more of the rotor coils includes a mandrel positioned within an interior region of the rotor coil. The mandrel may occupy a portion of the interior region of the rotor coil and is constructed of a material (e.g., stainless steel, copper, aluminum, phenolic, etc.) having a mechanical density that is greater than the average mechanical density of the first and second regions. The mandrel may occupy the interior region of the rotor coil and is constructed of a material (e.g., stainless steel, copper, aluminum, phenolic, etc.) having a mechanical density that is substantially equal to the average mechanical density of the first and second regions. 
 The mandrel includes a pair of distal end portions spaced by a pair of convex center portions. The periphery of the distal end portions of the mandrel may be defined by a first radius and the periphery of the convex center portions of the mandrel may be defined by a second radius, such that the second radius is larger than the first radius. Alternatively, the mandrel may be elliptical in shape. 
 One or more of the second regions may include a member that occupies a portion of the second region and has a mechanical density that is greater than the average mechanical density of the first and second regions. Alternatively, one or more of the second regions may include a member that occupies the second region and has a mechanical density that is substantially equal to the average mechanical density of the first and second regions. These members may be constructed of stainless steel, copper, aluminum, phenolic, etc. 
 The rotor coils (e.g., racetrack-type or saddle-type coils) may be superconducting coils and include one or more high temperature superconducting windings. These rotor coils, which may or may not be cryogenically cooled, generate a magnetic flux path within the rotor assembly during operation. The substantially cylindrical support structure may define an internal volume that houses a magnetic material having high saturation flux density, which is positioned within at least a portion of the flux path and decreases the overall reluctance of the flux path generated by the rotor coils. This magnetic material within the internal volume may or may not be cryogenically cooled. The conductors within the rotor coil may be wound such that the lines of magnetic flux produced by the rotor coil proximate the convex center portions of the mandrel are essentially radially aligned toward an axial center of the rotor assembly. 
 The saddle-type coil may be configured such that the lines of magnetic flux produced by the saddle-type coil are perpendicular with a surface of the substantially cylindrical support structure and radially aligned toward an axial centerline of the rotor assembly. 
 One or more advantages can be provided from the above aspects of the invention. The use of a convex or elliptical mandrel results in rotor coils that have consistent mechanical densities. Further, by matching the average mechanical density of the mandrel to that of the rotor coil, rotor performance can be enhanced. Additional enhancement can be obtained by matching the density of the filler material to that of the rotor coil/mandrel combination. By matching the density of the various components of the rotor assembly, the high speed operation of the rotor can be enhanced, as radial distortion due to centrifugal forces is reduced. Additionally, the use of a magnetic core within the cylindrical support structure of the rotor can enhance magnetic performance by reducing reluctance. 
 The details of one or more embodiments of the invention are set forth in the accompanying drawings and the description below. Other features, objects, and advantages of the invention will be apparent from the description and drawings, and from the claims.
","1. A coil comprising: 
a pair of distal end portions; and 
a center portion positioned between the pair of distal portions, the average mechanical density of the center portion being substantially equal to the average mechanical density of the distal end portions."
" It is a feature of an embodiment of the invention to provide improved compositions and delivery systems to administer alkaline pharmaceutical drugs through the skin. It also a feature of an embodiment of the invention to provide methods of making the compositions, as well as methods of administering the compositions to a patient in need thereof. 
 In accordance with these and other features of various embodiments of the invention, there is provided a topical composition including a molecular complex formed between an alkaline pharmaceutical drug and at least one compound selected from a hydroxyacid, a polyhydroxy acid, a related acid, lactone forms of these acids, or combinations thereof. 
 In accordance with additional features of embodiments of the invention, there is provided a method of forming a molecular complex between an alkaline pharmaceutical drug and at least one of a hydroxyacid, polyhydroxyacid, related acid, and lactone. The method involves dissolving the alkaline pharmaceutical drug salt and an alkali in an appropriate medium to form a free base of the pharmaceutical drug, and then separating the free base from the medium. The method further includes adding at least one of a hydroxyacid, polyhydroxyacid, related acid, and lactone to the free base in a reaction medium to form a molecular complex. 
 In accordance with an additional feature of an embodiment of the invention, there is provided a method of administering an alkaline pharmaceutical drug to a patient in need thereof, comprising topically applying a molecular complex formed between an alkaline pharmaceutical drug and at least one compound selected from a hydroxyacid, a polyhydroxy acid, related acid, a lactone, or combinations thereof. The molecular complex includes a therapeutically effective amount of the alkaline pharmaceutical drug.
","1. A composition comprising a molecular complex formed between: 
an alkaline pharmaceutical drug; and 
at least one agent selected from the group consisting of a hydroxyacid, a polyhydroxy acid, a related acid, a lactone form of these acids, and mixtures thereof, 
wherein the alkaline pharmaceutical drug is selected from the group consisting of abacavir, adefovir dipivoxil, adenosine, alfuzosin, almotriptan, amlodipine, anagrelide, anastrozole, apomorphine, aprepitant, aripiprazole, atazanavir, atomoxetine, azathioprine, azelastine, azithromycin, benazepril, bendroflumethiazide, benzonatate, brimonidine, buprenorphine, butenafine, cabergoline, candesartan cilexetil, cefditoren pivoxil, cefepime, cefpodoxime proxetil, celecoxib, cetirizine, cevimeline, cilostazol, cinacalcet, ciprofloxacin, cladribine, clarithromycin, clomiphene, clopidogrel, cyclobenzaprine, cytarabine, dacarbazine, dalfopristin, dapsone, daptomycin, daunorubicin, deferoxamine, delavirdine, desloratadine, desmopressin, dexmethylphenidate, dexrazoxane, dextroamphetamine, didanosine, diltiazem, dipyridamole, dofetilide, dolasetron, donepezil, dorzolamide, doxorubicin, doxycycline, duloxetine, eflornithine, eletriptan, emtricitabine, enalapril, epirubicin, eptifibatide, escitalopram, esmolol, esomeprazole, estazolam, famciclovir, famotidine, felodipine, fexofenadine, flecainide, fluconazole, flucytosine, formoterol, galantamine, gatifloxacin, gefitinib, gemcitabine, gemifloxacin, haloperidol, homatropine, hydrochlorothiazide, hydromorphone, hyoscyamine, idarubicin, imatinib, indinavir, irinotecan, itraconazole, ketotifen, lamivudine, lansoprazole, letrozole, leuprolide, levalbuterol, levofloxacin, linezolid, loperamide, mebendazole, memantine, mercaptopurine, metformin, methylphenidate, midodrine, miglustat, mitoxantrone, moexiprilat, moxifloxacin, nalbuphine, nalmefene, nelfinavir, nevirapine, nicardipine, nimodipine, nisoldipine, nizatidine, octreotide, ofloxacin, olmesartan medoxomil, olopatadine, omeprazole, oxybutynin, oxycodone, palonosetron, pemoline, penciclovir, pentostatin, pentoxifylline, pergolide, pioglitazone, procarbazine, propafenone, propoxyphene, quinapril, quinupristin, ribavirin, rifampin, rifapentine, rifaximin, riluzole, rimantadine, rivastigmine, rizatriptan, sibutramine, sildenafil, streptomycin, sulfamethoxazole, sulfisoxazole, tadalafil, tegaserol, telithromycin, telmisartan, temozolomide, tenofovir disoproxil, terazosin, thiabendazole, thiothixene, tiagabine, tinidazole, tirofiban, tobramycin, tolterodine, tramadol, trimethoprim, trimipramine, tromethamine, vardenafil, voriconazole, zafirlukast, zaleplon, zolmitriptan, zolpidem, and mixtures thereof."
" It is an object of the present invention to provide a support structure mounted on a bottom of a piece of wheeled luggage in which the luggage is able to maintain its vertical position in response to colliding with a foreign object. 
 It is another object of the present invention to provide a support structure mounted on a bottom of a piece of wheeled luggage in which the weight of the luggage is totally supported by the support structure and rear wheels are disposed above the supporting surface by a predetermined distance when the luggage is its vertical position so as to reduce wear of the wheels. 
 It is a further object of the present invention to provide a support structure mounted on a bottom of a piece of wheeled luggage in which a person may sit on top of the luggage in its vertical position since a reliable support is carried out by the support structure. 
 To achieve the above and other objects, the present invention provides a support structure mounted on a bottom of a piece of luggage having two wheel mounts provided at two rear corners and two rear wheels each rotatably coupled to the corresponding wheel mount, the support structure comprising a pair of front feet provided on the bottom of the luggage proximate two front corners thereof; and a pair of rear feet provided on the bottom of the luggage proximate the wheels, wherein either front foot has the same height as either rear foot and the wheels are disposed above the supporting surface by a predetermined distance when the luggage is in a vertical position. 
 In one aspect of the present invention, either rear foot is disposed on a bottom of the wheel mount and is disposed between the wheels. 
 In another aspect of the present invention, one rear foot is disposed between one wheel mount and one front foot at a first bottom side and the other rear foot is disposed between the other wheel mount and the other front foot at a second bottom side opposing the first bottom side. 
 In a further aspect of the present invention, either rear foot is integrally formed with the corresponding wheel mount or releasably coupled thereto. 
 The above and other objects, features and advantages of the present invention will become apparent from the following detailed description taken with the accompanying drawings.
","1. A support structure mounted on a bottom of a piece of luggage having two wheel mounts disposed at two rear corners and two rear wheels each rotatably coupled to the corresponding wheel mount, the support structure comprising: 
a pair of front feet disposed on the bottom of the luggage proximate two front corners thereof; and 
a pair of rear feet disposed on the bottom of the luggage proximate the wheels, 
wherein either front foot has the same height as either rear foot and the wheels are disposed above the supporting surface by a predetermined distance when the luggage is in a vertical position."
" The present invention provides a system and method for the testing and transfer of data from a client to a host. In one aspect of the present invention, data testing and transfer is accomplished by identifying the specific data to be acquired from a client's database or network and determining the desired format of the data for the host's database or network. The format and values of the client's data is assumed and entered onto a spreadsheet. The spreadsheet includes specific, predetermined headings to exist for the data fields and then assumed, fictitious, client data is entered into the data fields, based on the host's data format requirements. The spreadsheet is forwarded to the client for feedback on the entered data field headings, format of the fictitious assumed data values, and overall organization of the spreadsheet. 
 In order for the client's data to exist on the host's network in a compatible format, an algorithm is developed by the host to reformat the client's data. The host receives a test file and reformats this test file utilizing the developed algorithm. The reformatted test file is then compared to the created spreadsheet, and the system notes inconsistencies between the file and spreadsheet. If any changes are necessary, the algorithm is subsequently updated to format the data in the desired manner, namely consistent with the format of the spreadsheet. After the system verifies the data and reformatting, the entire client database file can be routed to the host, duplicated to protect the original file information, reformatted using the updated algorithm, and uploaded to the host's database or network. 
","1. A method to facilitate the transfer of data from a client database to a host database comprising the steps of; 
identifying at least one data field from said client database desired for said host database; 
incorporating said data field in a spreadsheet; 
populating at least a portion of said data field in said spreadsheet with assumed data values; 
developing an algorithm configured to reformat data associated with said data field from said client database and desired for said host database; 
receiving a test file from said client database; 
creating a reformatted test file with said test file using said algorithm; 
comparing said reformatted test file to said spreadsheet; 
identifying at least one change, wherein said change would substantially conform said reformatted test file to said spreadsheet; 
creating an updated algorithm from said algorithm which incorporates said at least one change; 
receiving an input file from said client database; 
creating a reformatted input file by applying said updated algorithm to said input file; and, 
uploading said reformatted input file to said host database."
" The present invention is concerned with functional variants of protein C, that contain a modified Gla-domain and exhibit enhanced anticoagulant activity. This enhanced anti-coagulant activity of the present protein C its emanates essentially from enhanced calcium and/or membrane binding properties and is mainly expressed by APC, which is the active form of the protein C zymogen, said zymogen being virtually inactive. Accordingly, the present invention is also concerned with variants of APC that contain a modified Gla-domain and exhibit enhanced anticoagulant activity. The Gla-domain comprises the first amino-terminal 45 residues of protein C and its structure and function will be discussed in more detail below. 
 According to the present invention it has been discovered that introduction of at least one, suitably a few, e.g. at least 6, and more specifically 7 or more, amino acid residue modification(s) into the Gla-domain, provides protein C or APC variants that have improved properties as compared to the variants having modifications in the Gla-domain that have been reported by Shen et al. (loc. cit.) and in the WO 99/20767 publication. 
 Suitably, the present variants do not contain more than 10 amino acid modifications and, suitably, do not encompass hybrids between different vitamin K-dependent proteins, such as hybrid protein C variants having a Gla-domain derived from prothrombin or Factor X, unless the differences between this other Gla-domain and the Gla-domain of protein C only constitute a few amino acid residues as discussed above. 
 Protein C variants according to the present invention that display improved properties, such as further enhanced anticoagulant activity, could provide benefits, e.g. by lowering the dosage or frequency of administration when used for therapeutic purposes. 
 The present invention is also concerned with methods to produce such variants based on DNA technology, with DNA segments intended for use in said methods, and with use of said variants for therapeutic and/or diagnostic purposes. 
","1. A variant blood coagulation component, which is substantially homologous in amino acid sequence to a wild-type blood coagulation component capable of exhibiting anticoagulant activity in the protein C-anticoagulant system of blood and selected from protein C (PC) and activated protein C (APC), said variant component being capable of expressing an anticoagulant activity, which is enhanced as compared to the anticoagulant activity expressed by the corresponding wild-type blood coagulation component, and said variant component differing from the respective wild-type component, in that it contains in comparison with the said wild-type component an amino acid residue modification at position 44 in its N-terminal amino acid residue sequence comprising the first 45 N-terminal amino acid residues and designated the Gla-domain, and that it contains at least one amino acid modification at a position selected from the group consisting of positions 10, 11, 12, 23, 32, and 33 of said Gla-domain."
" An object of the present invention is to provide a printer with a cutter and a method for cutting a recording paper that are capable of preventing wide lines having higher density from being recorded on the recording paper by stopping the recording paper to cut the same. 
 The above object is achieved by countervailing the decrease of the front tension caused by a curl formed on the continuous recording paper between tension rollers and paper discharge rollers. 
 The tension rollers are disposed at the downstream side of the print head and transport the recording paper applying a predetermined tension to the part of the recording paper having been recorded by a print head. The paper discharge rollers are disposed between the tension rollers and the cutter and transport the recording paper to the cutter. The paper discharge rollers stop rotating when a cutting line on the recording paper reaches the cutter. Owing to the stop of the paper discharge rollers, a curl of the recording paper is formed between the tension rollers and the paper discharge rollers. The curl generates a reactive force that pushes the recording paper back to the tension rollers by the elasticity of the recording paper and decreases the front tension. 
 A preferable embodiment of the present invention equalizes the front tension to the recording paper when the paper discharge rollers stops rotating with it when the paper discharge rollers rotates, by increasing torque of the tension rollers when the paper discharge rollers stops rotating. Another preferable embodiment of the present invention provides a reactive force absorbing device between the tension rollers and the paper discharge rollers. The reactive force absorbing device absorbs the reactive force caused by the curl that acts on the recording paper to decrease the front tension. The reactive force absorbing device includes a dancer roller biased by a spring. It is desirable to increase the torque of the tension roller in combination with using the reactive force absorbing device. 
 According to the present invention, the decrease of the front tension caused by the curl is countervailed, since the torque of the tension rollers is increased and/or the recording paper is pushed in the direction enlarging the curl at least while the paper discharge rollers stop rotating. Thereby, the front tension is maintained at approximately the same level, regardless of the rotation or the stop of the paper discharge rollers. Thus, it prevents wide lines as uneven density from being printed on the recording paper.
","1. A printer for recording a plurality of frames by at least a single print head sequentially on a continuous recording paper being transported, said recording paper being cut into each frame by a cutter, said printer comprising: 
a tension roller disposed at the downstream side of said print head, for transporting said recording paper applying front tension to said recording paper when said print head is recording the frames on said recording paper; 
a paper discharge roller disposed between said tension roller and said cutter, for transporting said recording paper having passed said tension roller to said cutter, and for stopping rotating to form a curl of said recording paper between said tension roller and said paper discharge roller when said cutter is cutting said recording paper; and 
a torque control device for applying large torque to said tension roller while said paper discharge roller is stopped, said torque control device equalizing said front tension when said discharge roller stops to said front tension when said paper discharge roller rotates."
" A unitary disposable absorbent article includes: an absorbent core having a garment surface and a body surface, a liquid permeable topsheet positioned adjacent said body surface of said absorbent core, a liquid impermeable backsheet positioned adjacent said garment surface of said absorbent core and an elastically contractible dual cuff. 
 The dual cuff has a proximate end and a distal end. The dual cuff is joined to the article by an intermediate bond. The dual cuff has a first cuff and a second cuff. The first cuff is disposed between the proximate end and the intermediate bond. The second cuff is disposed between the intermediate bond and the distal end. The dual cuff is constructed of a continuous cuff material and enclosed by a cuff end bond. The second cuff is spaced away from the backsheet. The backsheet may extend outboard of the distal end. 
 The first cuff envelopes at least one elastic which is operatively associated with the first cuff by securing it with an elastic attachment element. The elastic is secured to the first cuff near its ends or along its entire length. 
 The second cuff envelopes at least one elastic which is operatively associated with the second cuff by securing it with an elastic attachment element. The elastic is secured to the second cuff near its ends or along its entire length. 
 The absorbent article may be a disposable diaper. The absorbent article may be a prefastened diaper.
","1. A unitary disposable absorbent article comprising: 
an absorbent core having a garment surface and a body surface; 
a liquid permeable topsheet positioned adjacent said body surface of said absorbent core; 
a liquid impermeable backsheet positioned adjacent said garment surface of said absorbent core; and 
an elastically contractible dual cuff having a proximate end and a distal end, said dual cuff being joined to said article by an intermediate bond, said dual cuff having a first cuff and a second cuff, said first cuff being disposed between said proximate end and said intermediate bond, said second cuff being disposed between said intermediate bond and said distal end, said dual cuff being constructed of a continuous cuff material and enclosed by a cuff end bond; 
wherein said second cuff is spaced away from said backsheet, wherein said first and second cuffs are barrier cuffs."
